X,Y
0,0
1,0
2,0
3,255
4,255
5,255
6,255
7,255
8,255
9,255
10,255
11,255
12,255
13,255
14,255
15,255
16,255
17,255
18,255
19,255
20,215
21,215
22,215
23,215
24,215
25,215
26,215
27,215
28,215
29,215
30,215
31,215
32,215
33,215
34,215
35,215
36,215
37,174
38,174
39,174
40,174
41,174
42,174
43,174
44,174
45,174
46,174
47,174
48,174
49,174
50,174
51,174
52,174
53,174
54,174
55,142
56,142
57,142
58,142
59,142
60,142
61,142
62,142
63,142
64,142
65,142
66,142
67,142
68,142
69,142
70,142
71,142
72,105
73,105
74,105
75,105
76,105
77,105
78,105
79,105
80,105
81,105
82,105
83,105
84,105
85,105
86,105
87,105
88,105
89,97
90,97
91,97
92,97
93,97
94,97
95,97
96,97
97,97
98,97
99,97
100,97
101,97
102,97
103,97
104,97
105,97
106,81
107,81
108,81
109,81
110,81
111,81
112,81
113,81
114,81
115,81
116,81
117,81
118,81
119,81
120,81
121,81
122,81
123,73
124,73
125,73
126,73
127,73
128,73
129,73
130,73
131,73
132,73
133,73
134,73
135,73
136,73
137,73
138,73
139,73
140,65
141,65
142,65
143,65
144,65
145,65
146,65
147,65
148,65
149,65
150,65
151,65
152,65
153,65
154,65
155,65
156,65
157,48
158,48
159,48
160,48
161,48
162,48
163,48
164,48
165,48
166,48
167,48
168,48
169,48
170,48
171,48
172,48
173,48
174,48
175,40
176,40
177,40
178,40
179,40
180,40
181,40
182,40
183,40
184,40
185,40
186,40
187,40
188,40
189,40
190,40
191,40
192,32
193,32
194,32
195,32
196,32
197,32
198,32
199,32
200,32
201,32
202,32
203,32
204,32
205,32
206,32
207,32
208,32
209,24
210,24
211,24
212,24
213,24
214,24
215,24
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,24
224,24
225,24
226,16
227,16
228,16
229,16
230,16
231,16
232,16
233,16
234,16
235,16
236,16
237,16
238,16
239,16
240,16
241,16
242,16
243,16
244,16
245,16
246,16
247,16
248,16
249,16
